33,30,29
142,173,163
2,4,0
4,8,5
301,330,339
164,165,201
7,7,9
133,137,151
0,0,1
222,224,281
2,0,0
0,1,6
219,234,269
0,4,3
0,1,0
8,8,5
18,16,17
92,101,98
3,1,3
1,0,1
0,3,0
0,3,4
58,73,71
30,33,37
0,2,0
3,3,2
167,177,210
476,562,610
1,4,2
0,1,0
210,211,230
154,177,173
65,74,51
95,100,105
0,1,0
0,0,2
3,1,0
36,44,49
4,7,5
6,13,9
1,0,0
1,0,4
19,27,48
10,22,20
41,27,41
1,3,2
594,620,676
155,192,175
0,2,0
112,118,131
184,208,210
76,82,87
38,44,44
2,0,1
319,335,369
3,3,5
60,50,78
12,7,7
46,28,53
2,1,4
38,25,32
10,7,8
0,1,0
69,59,56
14,19,26
333,365,384
30,51,42
61,66,65
83,82,85
5,9,5
0,0,1
2,2,2
15,14,17
1,2,3
176,200,214
16,32,40
2,0,0
0,0,1
144,186,206
8,9,6
1,0,0
1,5,2
0,1,1
2,1,5
0,1,0
0,1,0
2,2,6
5,2,3
1,0,0
6,5,7
217,232,252
1,3,3
15,8,13
53,49,52
10,11,8
0,0,4
4,9,5
0,0,1
3,2,5
5,9,2
10,4,3
1,0,4
1,0,0
5,6,6
1,0,1
1,0,0
8,4,6
2,0,0
126,134,199
17,25,19
2,2,0
3,0,2
6,11,8
7,6,8
1,0,0
0,1,0
0,1,0
0,1,0
4,5,3
2,0,0
0,0,1
0,1,1
0,0,1
0,1,2
20,18,25
1,0,0
0,1,0
0,0,2
0,1,0
1,1,0
163,188,188
1,4,5
0,1,0
0,1,0
2,3,1
1,0,0
2,0,2
4,6,7
2,4,1
9,8,2
4,1,2
10,10,7
3,1,2
0,2,1
313,357,367
0,0,2
1,0,0
0,0,2
2,3,0
14,13,19
18,22,24
4,4,5
9,12,10
0,0,1
192,206,224
8,3,1
1,0,0
0,2,0
3,1,3
1,1,0
4,9,2
0,1,0
0,0,2
603,611,740
4,3,4
3,5,6
1,1,0
1,0,1
142,182,158
0,1,0
0,0,1
0,0,1
1,1,1
5,3,5
3,0,5
4,8,10
0,0,1
7,2,6
2,2,4
0,1,0
0,2,0
0,0,1
115,101,120
0,1,0
2,0,0
0,2,0
1,4,1
0,0,1
1,1,0
37,38,44
6,9,11
3,6,5
9,9,12
7,4,7
1,1,0
0,1,0
1,0,0
0,2,1
0,3,3
29,51,65
1,4,2
59,57,75
51,45,45
5,6,4
4,3,4
0,1,0
42,37,53
71,102,112
0,0,1
2,2,2
1,0,1
3,0,0
9,12,13
0,2,2
1,0,0
3,10,13
2,2,4
348,394,416
0,1,0
0,0,1
0,1,0
2,0,0
0,1,0
1,3,0
16,14,10
0,0,1
2,2,0
38,8,32
4,6,3
2,1,0
2,0,0
1,1,1
15,17,18
1,2,3
0,0,1
0,1,0
28,26,28
0,0,1
2,8,6
4,5,1
1,4,1
0,0,1
1,0,3
17,13,11
0,1,0
1,1,0
3,3,3
2,0,0
50,86,70
0,1,1
0,1,1
1,0,0
2,1,0
2,1,3
2,5,3
0,2,0
3,3,0
2,1,0
1,0,1
60,69,86
0,0,1
0,1,0
18,13,22
1,1,0
1,0,3
3,3,7
1,1,1
0,1,0
3,6,5
1,0,0
3,5,3
1,0,0
2,2,2
7,18,11
9,12,13
3,2,1
3,1,0
0,2,1
1,6,1
0,1,0
0,0,1
1,1,2
